symbol,price,price_change,price_percent_change
PVH,76.59,11.95,18.49
HSAI,17.33,2.53,17.13
PRGS,56.47,4.96,9.63
OKLO,23.63,2.0,9.25
IONQ,23.82,1.75,7.93
CORZ,7.82,0.58,7.94
APLS,23.44,1.57,7.2
RIVN,13.36,0.91,7.31
CLSK,7.23,0.51,7.59
HCM,16.11,1.07,7.11
DJTWW,13.19,0.81,6.5
CRZBY,24.25,1.45,6.36
NBIS,22.33,1.22,5.78
FMCC,5.67,0.32,5.98
BE,20.77,1.11,5.65
DSNKY,25.1,1.32,5.55
TSLA,273.67,14.51,5.6
TKAMY,10.89,0.55,5.32
MNDY,256.24,13.08,5.38
LEVI,16.41,0.82,5.26
RKT,12.66,0.6,4.93
FNMA,6.64,0.31,4.9
RDDT,109.9,5.0,4.76
OS,22.34,1.0,4.71
PHI,22.84,0.97,4.46
