symbol,price,price_change,price_percent_change
LUCY,4.95,2.5,102.04
JNVR,44.97,17.59,64.24
BNGO,4.4,1.32,42.86
AREB,7.25,1.67,29.93
SXTP,3.1,0.6,24.0
JUNE,10.01,1.69,20.37
GNFT,3.26,0.55,20.07
KROS,12.24,1.91,18.49
VGAS,3.82,0.56,17.18
BAOS,2.47,0.36,17.06
USAU,10.02,1.44,16.78
LOVE,18.49,2.56,16.07
USAR,8.49,1.12,15.2
UAMY,2.54,0.3,13.62
NEOG,5.63,0.61,12.15
CLIK,3.05,0.31,11.31
TCRT,2.86,0.29,11.28
HMY,16.28,1.59,10.82
MIMI,4.1,0.4,10.81
NUTX,114.75,10.96,10.56
SMMT,20.15,1.92,10.53
MAXN,3.28,0.31,10.44
SKE,10.17,0.91,9.83
UPC,3.6,0.32,9.76
BYRN,18.08,1.5,9.05
ASPI,5.44,0.45,9.02
BIOA,3.43,0.28,8.89
GFI,23.38,1.83,8.49
FSM,6.23,0.48,8.35
OLMA,3.41,0.26,8.25
CERT,10.51,0.78,8.02
DRD,15.27,1.1,7.76
DNA,7.3,0.52,7.67
ICCT,3.97,0.28,7.59
SATL,3.78,0.26,7.39
SBC,3.4,0.23,7.26
MRT,2.84,0.19,7.17
OR,21.84,1.43,7.01
ARQQ,14.37,0.94,7.0
PSMT,91.76,5.97,6.96
TOPW,2.37,0.15,6.76
AU,38.86,2.44,6.71
ALHC,19.78,1.24,6.69
ORLA,9.88,0.6,6.52
CTGO,10.87,0.66,6.46
CYBN,5.77,0.35,6.46
HRTG,16.14,0.97,6.43
RAY,2.35,0.14,6.33
AGL,5.5,0.33,6.27
MTEN,4.42,0.26,6.25
BLTE,58.52,3.42,6.21
GSIT,2.5,0.14,6.14
VOXR,2.94,0.17,6.14
IAG,6.88,0.37,5.68
CJMB,4.12,0.22,5.64
BTG,3.06,0.16,5.52
AEM,111.63,5.83,5.51
AGI,27.98,1.45,5.44
MAMO,2.58,0.13,5.31
EGO,18.0,0.91,5.3
VMAR,5.79,0.29,5.27
LI,22.25,1.11,5.25
SKGR,12.03,0.59,5.16
KGC,13.69,0.67,5.15
SAND,7.6,0.37,5.12
EYPT,4.8,0.23,5.03
JZXN,5.01,0.24,5.03
GDS,20.39,0.96,4.94
CDTG,2.34,0.11,4.93
FNV,157.44,7.22,4.81
NGD,3.4,0.15,4.78
TDUP,3.3,0.15,4.76
API,3.14,0.14,4.67
ARMN,5.11,0.23,4.61
NEM,50.95,2.2,4.51
DC,2.78,0.12,4.51
RYET,4.43,0.19,4.48
WKSP,3.28,0.14,4.46
NGVC,46.91,2.0,4.45
IDR,16.45,0.7,4.44
ACT,34.84,1.47,4.41
WPM,77.85,3.23,4.33
PDEX,61.1,2.47,4.21
YSXT,3.29,0.13,4.11
SA,11.15,0.44,4.11
RRGB,3.06,0.12,4.08
YALA,5.38,0.21,4.06
RAIN,2.45,0.1,4.03
BJDX,2.58,0.1,4.03
ASND,143.33,5.49,3.98
MTA,3.02,0.12,3.97
HCI,145.45,5.48,3.92
RGLD,170.97,6.43,3.91
EQX,6.49,0.24,3.84
CGAU,6.25,0.23,3.82
PESI,7.34,0.27,3.82
TZUP,4.44,0.16,3.74
SLP,26.5,0.95,3.73
BJ,117.31,4.21,3.72
EUDA,3.64,0.13,3.7
